Age,Sex_indexed,Fare,Survived
22.0,0.0,7.25,0
38.0,1.0,71.2833,1
26.0,1.0,7.925,1
35.0,1.0,53.1,1
35.0,0.0,8.05,0
"",0.0,8.4583,0
54.0,0.0,51.8625,0
2.0,0.0,21.075,0
27.0,1.0,11.1333,1
14.0,1.0,30.0708,1
4.0,1.0,16.7,1
58.0,1.0,26.55,1
20.0,0.0,8.05,0
39.0,0.0,31.275,0
14.0,1.0,7.8542,0
55.0,1.0,16.0,1
2.0,0.0,29.125,0
"",0.0,13.0,1
31.0,1.0,18.0,0
"",1.0,7.225,1
35.0,0.0,26.0,0
34.0,0.0,13.0,1
15.0,1.0,8.0292,1
28.0,0.0,35.5,1
8.0,1.0,21.075,0
38.0,1.0,31.3875,1
"",0.0,7.225,0
19.0,0.0,263.0,0
"",1.0,7.8792,1
"",0.0,7.8958,0
40.0,0.0,27.7208,0
"",1.0,146.5208,1
"",1.0,7.75,1
66.0,0.0,10.5,0
28.0,0.0,82.1708,0
42.0,0.0,52.0,0
"",0.0,7.2292,1
21.0,0.0,8.05,0
18.0,1.0,18.0,0
14.0,1.0,11.2417,1
40.0,1.0,9.475,0
27.0,1.0,21.0,0
"",0.0,7.8958,0
3.0,1.0,41.5792,1
19.0,1.0,7.8792,1
"",0.0,8.05,0
"",0.0,15.5,0
"",1.0,7.75,1
"",0.0,21.6792,0
18.0,1.0,17.8,0
7.0,0.0,39.6875,0
21.0,0.0,7.8,0
49.0,1.0,76.7292,1
29.0,1.0,26.0,1
65.0,0.0,61.9792,0
"",0.0,35.5,1
21.0,1.0,10.5,1
28.5,0.0,7.2292,0
5.0,1.0,27.75,1
11.0,0.0,46.9,0
22.0,0.0,7.2292,0
38.0,1.0,80.0,1
45.0,0.0,83.475,0
4.0,0.0,27.9,0
"",0.0,27.7208,0
"",0.0,15.2458,1
29.0,1.0,10.5,1
19.0,0.0,8.1583,0
17.0,1.0,7.925,1
26.0,0.0,8.6625,0
32.0,0.0,10.5,0
16.0,1.0,46.9,0
21.0,0.0,73.5,0
26.0,0.0,14.4542,0
32.0,0.0,56.4958,1
25.0,0.0,7.65,0
"",0.0,7.8958,0
"",0.0,8.05,0
0.83,0.0,29.0,1
30.0,1.0,12.475,1
22.0,0.0,9.0,0
29.0,0.0,9.5,1
"",1.0,7.7875,1
28.0,0.0,47.1,0
17.0,1.0,10.5,1
33.0,1.0,15.85,1
16.0,0.0,34.375,0
"",0.0,8.05,0
23.0,1.0,263.0,1
24.0,0.0,8.05,0
29.0,0.0,8.05,0
20.0,0.0,7.8542,0
46.0,0.0,61.175,0
26.0,0.0,20.575,0
59.0,0.0,7.25,0
"",0.0,8.05,0
71.0,0.0,34.6542,0
23.0,0.0,63.3583,1
34.0,1.0,23.0,1
34.0,0.0,26.0,0
28.0,1.0,7.8958,0
"",0.0,7.8958,0
21.0,0.0,77.2875,0
33.0,0.0,8.6542,0
37.0,0.0,7.925,0
28.0,0.0,7.8958,0
21.0,1.0,7.65,1
"",0.0,7.775,1
38.0,0.0,7.8958,0
"",1.0,24.15,1
47.0,0.0,52.0,0
14.5,1.0,14.4542,0
22.0,0.0,8.05,0
20.0,1.0,9.825,0
17.0,1.0,14.4583,0
21.0,0.0,7.925,0
70.5,0.0,7.75,0
29.0,0.0,21.0,0
24.0,0.0,247.5208,0
2.0,1.0,31.275,0
21.0,0.0,73.5,0
"",0.0,8.05,0
32.5,0.0,30.0708,0
32.5,1.0,13.0,1
54.0,0.0,77.2875,0
12.0,0.0,11.2417,1
"",0.0,7.75,0
24.0,0.0,7.1417,1
"",1.0,22.3583,1
45.0,0.0,6.975,0
33.0,0.0,7.8958,0
20.0,0.0,7.05,0
47.0,1.0,14.5,0
29.0,1.0,26.0,1
25.0,0.0,13.0,0
23.0,0.0,15.0458,0
19.0,1.0,26.2833,1
37.0,0.0,53.1,0
16.0,0.0,9.2167,0
24.0,0.0,79.2,0
"",1.0,15.2458,0
22.0,1.0,7.75,1
24.0,1.0,15.85,1
19.0,0.0,6.75,0
18.0,0.0,11.5,0
19.0,0.0,36.75,0
27.0,0.0,7.7958,1
9.0,1.0,34.375,0
36.5,0.0,26.0,0
42.0,0.0,13.0,0
51.0,0.0,12.525,0
22.0,1.0,66.6,1
55.5,0.0,8.05,0
40.5,0.0,14.5,0
"",0.0,7.3125,0
51.0,0.0,61.3792,0
